,city,lat,lng,max temp,humidity,cloudiness,wind_speed,country,date
318,Hereford,52.0568,-2.7148,56.01,88,36,3.78,GB,1689894607
319,Sakaiminato,35.55,133.2333,76.98,88,20,3.44,JP,1689895129
320,Shingū,33.7333,135.9833,77.86,82,100,3.94,JP,1689895130
321,Murzuk,25.9155,13.9184,87.44,19,0,9.19,LY,1689895131
322,Greytown,-29.0642,30.5928,41.65,92,99,1.5,ZA,1689895132
323,Jacobina,-11.1806,-40.5183,68.7,64,30,11.43,BR,1689895134
324,Belokurikha,51.9959,84.9896,60.4,90,34,5.48,RU,1689895135
325,Taro,-8.3862,115.28,68.0,87,42,1.95,ID,1689895136
326,Saynshand,44.8824,110.1163,65.57,71,100,19.28,MN,1689895137
327,Luocheng,29.3848,104.0286,72.5,97,99,1.25,CN,1689895138
328,Telêmaco Borba,-24.3239,-50.6156,56.98,97,8,3.09,BR,1689894845
329,Ivdel',60.6911,60.4206,56.26,95,58,3.87,RU,1689895141
330,Lendelede,50.8833,3.2333,61.14,85,100,1.83,BE,1689895142
331,Pangai,-19.8,-174.35,76.14,87,99,32.46,TO,1689895143
332,Wau,7.7029,27.9953,71.17,92,82,3.22,SS,1689895145
333,Jieshi,22.8134,115.8257,82.8,83,95,1.07,CN,1689895146
334,Puerto Baquerizo Moreno,-0.9,-89.6,77.09,82,51,12.12,EC,1689895147
335,Nizhnyaya Salda,58.0776,60.7202,53.64,96,42,5.66,RU,1689895148
336,Villa Gesell,-37.2639,-56.973,49.05,91,5,11.97,AR,1689895150
337,Klyuchi,52.2667,79.1667,67.15,60,25,7.87,RU,1689895151
338,Yingkou,40.6648,122.2283,80.22,58,66,2.89,CN,1689895152
339,Nikolayevsk-on-Amur,53.1406,140.73,74.14,71,76,2.39,RU,1689895153
340,Afaahiti,-17.75,-149.2833,76.87,66,16,19.22,PF,1689895154
341,Kānt,27.8,79.8,88.05,61,9,6.53,IN,1689895156
342,Matthew Town,20.95,-73.6667,84.4,75,100,16.58,BS,1689895157
343,Fedorovka,53.6314,62.7078,61.25,67,62,7.47,KZ,1689895158
344,Houma,29.5958,-90.7195,96.01,64,0,6.91,US,1689894887
345,Nova Viçosa,-17.8919,-39.3719,72.28,84,99,15.95,BR,1689895161
346,Xızı,40.9058,49.0813,70.0,66,0,3.18,AZ,1689895162
347,Nizhneangarsk,55.7833,109.55,57.58,63,6,8.34,RU,1689895163
348,Lan Sak,15.4529,99.5761,76.1,76,100,3.06,TH,1689895164
349,Chicoana,-25.1009,-65.5331,53.06,46,68,4.25,AR,1689895166
350,Dadukou,26.5479,101.7054,70.23,94,100,0.69,CN,1689895167
351,Port Hedland,-20.3167,118.5667,64.45,42,1,8.05,AU,1689895168
352,Guerrero Negro,27.9769,-114.0611,75.2,64,12,18.48,MX,1689895169
353,Mossendjo,-2.9506,12.7261,66.22,79,100,2.42,CG,1689895170
354,Copala,16.65,-98.9833,89.38,62,12,9.64,MX,1689895172
355,Manta,-0.95,-80.7333,82.18,78,40,15.01,EC,1689895173
356,Cadale,2.7603,46.3222,77.2,87,100,20.15,SO,1689895174
357,Angoche,-16.2325,39.9086,74.64,75,0,13.49,MZ,1689895175
358,Calabozo,8.9242,-67.4293,77.5,90,97,2.13,VE,1689895177
359,Myeik,12.4333,98.6,76.66,91,100,6.51,MM,1689895178
360,North Bend,43.4065,-124.2243,78.24,72,20,14.97,US,1689895179
361,La Paz Centro,12.34,-86.6753,90.99,51,89,11.99,NI,1689895180
362,Bengkulu,-3.8004,102.2655,74.07,90,94,4.52,ID,1689894981
363,Sanctuary Point,-35.1114,150.629,58.32,58,24,8.68,AU,1689895183
364,Kill Devil Hills,36.0307,-75.676,86.02,81,0,11.5,US,1689895184
365,Vadsø,70.0744,29.7487,49.08,87,100,18.41,NO,1689895185
366,Sungailiat,-1.85,106.1333,77.83,88,100,7.9,ID,1689895186
367,Arad,46.3333,21.75,64.31,54,5,1.7,RO,1689895187
368,Koné,-21.0595,164.8658,71.47,55,5,6.2,NC,1689895189
369,Griffith,41.5284,-87.4237,84.25,49,0,23.02,US,1689895190
370,Ketchikan,55.3422,-131.6461,70.27,64,40,9.22,US,1689895146
371,Mount Isa,-20.7333,139.5,69.57,46,75,10.36,AU,1689895192
372,Chimay,50.0486,4.3171,59.49,85,100,7.63,BE,1689895194
373,Mariehamn,60.0973,19.9348,49.86,100,0,1.14,AX,1689895173
374,Tangalle,6.024,80.7911,78.22,86,74,10.92,LK,1689895196
375,Zhalantun,48.0,122.7167,65.57,64,100,4.29,CN,1689895197
376,Mejit,10.2753,170.8646,83.07,83,89,18.86,MH,1689895199
377,Uruçuca,-14.5931,-39.2844,70.61,97,76,2.64,BR,1689895200
378,Codrington,-38.2667,141.9667,45.12,84,67,7.18,AU,1689895201
379,Bayanaul,50.7889,75.6956,64.09,60,5,7.54,KZ,1689895203
380,Penzance,50.1186,-5.5371,56.08,76,3,11.14,GB,1689895204
381,Xigazê,29.25,88.8833,57.38,49,26,3.36,CN,1689895206
